# WordCount Map-Reduce con threads
# Archivo: C:\Users\Cris\Desktop\Proyectos\big data\New folder\archivo_20gb.txt
# Threads: 16
# Inicio:  2025-08-20 13:19:32
# Fin:     2025-08-20 13:46:51
# Duración (s): 1639.64(27min)
# Total de palabras: 2947974936
# Palabras distintas: 3276
# ---- palabra	conteo ----
Dejar	538461
memoria	1868048
fecha	1878404
hubo	1878993
interés	1869842
líder	1878977
conjunto	1864534
hacen.	540487
Pero	541946
la	1890185
martín	1875047
función	1869447
año	1886405
día.	542634
Modo	541111
otras	1876012
cuanto	1873816
atención	1863877
tu	1889439
hemos	1872858
zona.	541733
Calle	539880
hace	1881391
políticos	1861527
lejos	1875494
cuya	1879211
industria	1859713
derecha	1868183
parís.	540854
Muerte	539840
sólo	1879993
exterior	1865455
actividades	1850712
fuentes	1870422
toda.	541538
Antonio	537225
mujeres	1867909
corazón	1869220
momento.	538298
Uso	543209
rosa	1879022
vivir	1876070
mediante	1863887
central	1867248
e.	545951
Libros	538564
máximo	1875496
varios.	538328
Informe	538503
marco	1877322
tema	1882350
película	1866021
quería	1872224
empresas.	535645
Unas	541216
carácter	1864973
crecimiento	1849774
quiere	1874371
enero	1875345
gracias.	538560
Mundial	537870
nada	1880359
las.	542189
Nueva	539628
señaló	1871588
muchos	1872592
madrid.	540563
Propios	536980
incluso	1868739
aquella	1869222
fiscal.	540436
Líder	539986
difícil	1867856
cuarto	1873601
organización.	532013
Armas	539717
encuentra	1856451
recursos	1864449
esa.	543133
Pocos	539938
uso	1884305
tras	1883333
forma	1877229
país	1880794
medios.	540035
Amigo	540898
peso	1881812
luz	1884226
educación	1859776
unidos.	539845
Media	540887
gobierno	1864076
anterior	1864562
izquierda	1861453
vista	1877820
mismos.	539995
Hombres	539026
mejor	1877693
mayoría	1869260
allá	1881553
r	1894172
centro.	538977
Cambios	538389
estado	1871800
voluntad	1862856
llega	1877555
elecciones	1856898
tipos.	540010
Formación	536094
marcha	1870129
ahora	1879436
tenido.	538115
Tener	538440
estudio	1866288
futuro	1870253
argentina.	535884
Debía	540722
él	1886320
hacen	1876848
produce	1867499
mayoría.	537514
Cualquier	535817
aquel	1879782
hacerlo	1870284
seguro	1873454
fecha.	539390
Tal	543347
familia	1867242
estos	1877846
las	1882429
sabía	1878352
señor.	539659
Prueba	539333
expresión	1859072
junto.	538624
Resto	539636
bueno	1876157
ningún	1872361
victoria	1864375
teoría.	539191
Santa	540249
largo	1877168
noviembre	1861760
condiciones	1852917
distintos	1861854
ciento	1874397
mi.	543699
Segunda	538006
ciudad	1872073
llegado	1867463
vuelve	1873210
aun	1883710
productos.	536440
Nuestras	537550
mercado	1868526
quien	1877408
amor	1880874
decir.	538977
Usted	541110
decía	1876401
ocasiones	1860312
casa.	541122
Mira	541842
práctica	1864929
actitud.	537934
Menos	540709
luis	1879379
minutos	1867182
alrededor	1861387
garcía	1873172
algún	1879044
música	1872485
semana.	538365
Importantes	533428
voz	1884189
produce.	537544
Diferentes	534237
cabo	1880732
campo	1875784
reforma.	538439
Desarrollo	533536
debido	1874359
finalmente	1855374
estas	1874855
parecía.	537699
Problemas	535826
he	1890326
sentido	1868842
segunda	1868252
pocos	1877317
ver	1887095
crisis.	539521
Queda	540886
suelo	1874637
éste	1881771
podría.	538250
Próximo	537146
quién	1875308
dado	1882630
presencia	1860354
cosa	1880955
cama.	540339
Características	529179
serie	1877739
nombre	1873806
ciencia	1869722
además	1873430
humanos.	536883
Llegado	538897
siguientes	1855268
hecho	1875438
mayores	1870314
ministerio	1852613
república.	536171
Septiembre	534777
teoría	1872763
a	1893221
fútbol	1871752
había	1876742
octubre	1866836
pues.	541723
